==== Broken events ====
Total broken events: 78
{'episode': 94, 'step': 17, 'uav_id': 1, 'position': 0.0, 'destination': 9.0, 'age': 0.1331489384174347, 'energy': 99.94915771484375}
{'episode': 449, 'step': 32, 'uav_id': 1, 'position': 8.0, 'destination': 0.0, 'age': 0.5067843198776245, 'energy': 100.0}
{'episode': 1095, 'step': 23, 'uav_id': 1, 'position': 1.0, 'destination': 0.0, 'age': 0.33188071846961975, 'energy': 100.0}
{'episode': 1130, 'step': 26, 'uav_id': 1, 'position': 0.0, 'destination': 4.0, 'age': 0.5580621957778931, 'energy': 99.80142211914062}
{'episode': 1434, 'step': 29, 'uav_id': 2, 'position': 6.0, 'destination': 0.0, 'age': 0.6200811266899109, 'energy': 100.0}
{'episode': 1443, 'step': 34, 'uav_id': 0, 'position': 0.0, 'destination': 9.0, 'age': 0.668391227722168, 'energy': 99.76544189453125}
{'episode': 1503, 'step': 19, 'uav_id': 2, 'position': 0.0, 'destination': 8.0, 'age': 0.20447759330272675, 'energy': 99.91045379638672}
{'episode': 1939, 'step': 34, 'uav_id': 0, 'position': 4.0, 'destination': 0.0, 'age': 0.973353922367096, 'energy': 100.0}
{'episode': 2176, 'step': 28, 'uav_id': 0, 'position': 0.0, 'destination': 4.0, 'age': 0.8965415358543396, 'energy': 99.77667999267578}
{'episode': 2241, 'step': 28, 'uav_id': 0, 'position': 9.0, 'destination': 0.0, 'age': 1.008453130722046, 'energy': 100.0}
{'episode': 2368, 'step': 35, 'uav_id': 0, 'position': 4.0, 'destination': 0.0, 'age': 0.6633091568946838, 'energy': 100.0}
{'episode': 2396, 'step': 24, 'uav_id': 0, 'position': 1.0, 'destination': 0.0, 'age': 0.3691374361515045, 'energy': 100.0}
{'episode': 2642, 'step': 27, 'uav_id': 0, 'position': 9.0, 'destination': 0.0, 'age': 0.961697518825531, 'energy': 100.0}
{'episode': 2980, 'step': 20, 'uav_id': 2, 'position': 0.0, 'destination': 7.0, 'age': 0.3194950819015503, 'energy': 99.8245849609375}
{'episode': 3042, 'step': 24, 'uav_id': 0, 'position': 0.0, 'destination': 6.0, 'age': 0.6338053941726685, 'energy': 99.77153778076172}
{'episode': 3494, 'step': 37, 'uav_id': 0, 'position': 0.0, 'destination': 4.0, 'age': 0.7402440905570984, 'energy': 99.73048400878906}
{'episode': 3911, 'step': 21, 'uav_id': 0, 'position': 2.0, 'destination': 0.0, 'age': 0.5400607585906982, 'energy': 100.0}
{'episode': 3943, 'step': 19, 'uav_id': 0, 'position': 0.0, 'destination': 7.0, 'age': 0.28212907910346985, 'energy': 99.9288330078125}
{'episode': 4045, 'step': 29, 'uav_id': 0, 'position': 0.0, 'destination': 7.0, 'age': 0.4382464289665222, 'energy': 99.86385345458984}
{'episode': 4180, 'step': 24, 'uav_id': 0, 'position': 0.0, 'destination': 2.0, 'age': 0.7400145530700684, 'energy': 99.73064422607422}
{'episode': 4304, 'step': 22, 'uav_id': 0, 'position': 0.0, 'destination': 1.0, 'age': 0.6731765866279602, 'energy': 99.89112091064453}
{'episode': 4375, 'step': 27, 'uav_id': 0, 'position': 6.0, 'destination': 0.0, 'age': 0.8541556596755981, 'energy': 100.0}
{'episode': 4601, 'step': 27, 'uav_id': 0, 'position': 0.0, 'destination': 4.0, 'age': 1.0765284299850464, 'energy': 99.74059295654297}
{'episode': 4891, 'step': 23, 'uav_id': 0, 'position': 2.0, 'destination': 0.0, 'age': 0.6064717173576355, 'energy': 100.0}
{'episode': 5446, 'step': 29, 'uav_id': 0, 'position': 4.0, 'destination': 0.0, 'age': 1.2372488975524902, 'energy': 100.0}
{'episode': 5694, 'step': 25, 'uav_id': 0, 'position': 0.0, 'destination': 5.0, 'age': 0.518538773059845, 'energy': 99.85694885253906}
{'episode': 5899, 'step': 29, 'uav_id': 0, 'position': 6.0, 'destination': 0.0, 'age': 0.8910236358642578, 'energy': 100.0}
{'episode': 5902, 'step': 20, 'uav_id': 0, 'position': 0.0, 'destination': 2.0, 'age': 0.44062769412994385, 'energy': 99.93268585205078}
{'episode': 5915, 'step': 24, 'uav_id': 0, 'position': 0.0, 'destination': 2.0, 'age': 0.8442373871803284, 'energy': 99.93268585205078}
{'episode': 5924, 'step': 31, 'uav_id': 0, 'position': 0.0, 'destination': 4.0, 'age': 0.9565269351005554, 'energy': 99.74773406982422}
{'episode': 5963, 'step': 38, 'uav_id': 0, 'position': 4.0, 'destination': 0.0, 'age': 1.2125383615493774, 'energy': 100.0}
{'episode': 6108, 'step': 30, 'uav_id': 1, 'position': 10.0, 'destination': 0.0, 'age': 0.16355739533901215, 'energy': 100.0}
{'episode': 7217, 'step': 26, 'uav_id': 1, 'position': 0.0, 'destination': 7.0, 'age': 0.5408528447151184, 'energy': 99.80504608154297}
{'episode': 7398, 'step': 31, 'uav_id': 0, 'position': 0.0, 'destination': 9.0, 'age': 0.5361557602882385, 'energy': 99.93668365478516}
{'episode': 7473, 'step': 37, 'uav_id': 1, 'position': 0.0, 'destination': 4.0, 'age': 0.5912030935287476, 'energy': 99.77279663085938}
{'episode': 7809, 'step': 26, 'uav_id': 0, 'position': 4.0, 'destination': 0.0, 'age': 0.41305240988731384, 'energy': 100.0}
{'episode': 7924, 'step': 23, 'uav_id': 1, 'position': 0.0, 'destination': 7.0, 'age': 0.3936755061149597, 'energy': 99.8453140258789}
{'episode': 8706, 'step': 28, 'uav_id': 0, 'position': 4.0, 'destination': 0.0, 'age': 0.518517255783081, 'energy': 100.0}
{'episode': 8826, 'step': 20, 'uav_id': 1, 'position': 0.0, 'destination': 1.0, 'age': 0.21786457300186157, 'energy': 99.88139343261719}
{'episode': 8987, 'step': 21, 'uav_id': 0, 'position': 0.0, 'destination': 7.0, 'age': 0.23271489143371582, 'energy': 99.87359619140625}
{'episode': 9631, 'step': 19, 'uav_id': 2, 'position': 1.0, 'destination': 0.0, 'age': 0.3755713701248169, 'energy': 100.0}
{'episode': 9952, 'step': 29, 'uav_id': 0, 'position': 0.0, 'destination': 6.0, 'age': 0.7069367170333862, 'energy': 99.92852783203125}
{'episode': 10645, 'step': 22, 'uav_id': 0, 'position': 1.0, 'destination': 0.0, 'age': 0.30265721678733826, 'energy': 100.0}
{'episode': 10735, 'step': 30, 'uav_id': 1, 'position': 0.0, 'destination': 2.0, 'age': 0.5410699248313904, 'energy': 99.77427673339844}
{'episode': 10870, 'step': 17, 'uav_id': 0, 'position': 8.0, 'destination': 0.0, 'age': 0.18451856076717377, 'energy': 100.0}
{'episode': 11310, 'step': 38, 'uav_id': 0, 'position': 6.0, 'destination': 0.0, 'age': 0.7048026919364929, 'energy': 100.0}
{'episode': 11899, 'step': 31, 'uav_id': 0, 'position': 3.0, 'destination': 0.0, 'age': 0.4159546196460724, 'energy': 100.0}
{'episode': 12073, 'step': 28, 'uav_id': 1, 'position': 0.0, 'destination': 4.0, 'age': 0.5053496360778809, 'energy': 99.81895446777344}
{'episode': 12124, 'step': 20, 'uav_id': 2, 'position': 0.0, 'destination': 9.0, 'age': 0.1565253734588623, 'energy': 99.93505859375}
{'episode': 12150, 'step': 23, 'uav_id': 0, 'position': 0.0, 'destination': 2.0, 'age': 0.2866508364677429, 'energy': 99.96429443359375}
{'episode': 12199, 'step': 22, 'uav_id': 2, 'position': 0.0, 'destination': 10.0, 'age': 0.306254506111145, 'energy': 99.75582885742188}
{'episode': 12595, 'step': 27, 'uav_id': 0, 'position': 6.0, 'destination': 0.0, 'age': 0.4470120668411255, 'energy': 100.0}
{'episode': 13114, 'step': 20, 'uav_id': 0, 'position': 7.0, 'destination': 0.0, 'age': 0.25578272342681885, 'energy': 100.0}
{'episode': 13619, 'step': 35, 'uav_id': 2, 'position': 0.0, 'destination': 6.0, 'age': 0.6278063058853149, 'energy': 99.81827545166016}
{'episode': 13652, 'step': 27, 'uav_id': 2, 'position': 0.0, 'destination': 4.0, 'age': 0.5241895914077759, 'energy': 99.74415588378906}
{'episode': 13897, 'step': 28, 'uav_id': 1, 'position': 0.0, 'destination': 4.0, 'age': 0.5161324143409729, 'energy': 99.8447494506836}
{'episode': 14192, 'step': 35, 'uav_id': 0, 'position': 0.0, 'destination': 1.0, 'age': 0.8697694540023804, 'energy': 99.78290557861328}
{'episode': 14343, 'step': 34, 'uav_id': 0, 'position': 6.0, 'destination': 0.0, 'age': 0.7274178266525269, 'energy': 100.0}
{'episode': 14382, 'step': 29, 'uav_id': 1, 'position': 4.0, 'destination': 0.0, 'age': 0.4293454587459564, 'energy': 100.0}
{'episode': 14724, 'step': 36, 'uav_id': 2, 'position': 6.0, 'destination': 0.0, 'age': 0.5707244277000427, 'energy': 100.0}
{'episode': 14729, 'step': 32, 'uav_id': 0, 'position': 0.0, 'destination': 4.0, 'age': 0.4066980183124542, 'energy': 99.73894500732422}
{'episode': 14789, 'step': 25, 'uav_id': 0, 'position': 9.0, 'destination': 0.0, 'age': 0.3661685883998871, 'energy': 100.0}
{'episode': 15459, 'step': 38, 'uav_id': 1, 'position': 6.0, 'destination': 0.0, 'age': 1.0708369016647339, 'energy': 100.0}
{'episode': 15529, 'step': 28, 'uav_id': 0, 'position': 0.0, 'destination': 6.0, 'age': 0.529904842376709, 'energy': 99.81857299804688}
{'episode': 15557, 'step': 21, 'uav_id': 2, 'position': 3.0, 'destination': 0.0, 'age': 0.3417515754699707, 'energy': 100.0}
{'episode': 15822, 'step': 24, 'uav_id': 0, 'position': 7.0, 'destination': 9.0, 'age': 0.34369394183158875, 'energy': 99.58055877685547}
{'episode': 16091, 'step': 26, 'uav_id': 1, 'position': 0.0, 'destination': 4.0, 'age': 0.45545777678489685, 'energy': 99.77464294433594}
{'episode': 16104, 'step': 30, 'uav_id': 1, 'position': 0.0, 'destination': 6.0, 'age': 0.3251514136791229, 'energy': 99.868896484375}
{'episode': 16122, 'step': 26, 'uav_id': 0, 'position': 4.0, 'destination': 0.0, 'age': 0.3676701784133911, 'energy': 100.0}
{'episode': 16303, 'step': 25, 'uav_id': 0, 'position': 2.0, 'destination': 0.0, 'age': 0.40941545367240906, 'energy': 100.0}
{'episode': 16371, 'step': 28, 'uav_id': 1, 'position': 1.0, 'destination': 0.0, 'age': 0.5915819406509399, 'energy': 100.0}
{'episode': 17686, 'step': 25, 'uav_id': 1, 'position': 0.0, 'destination': 3.0, 'age': 0.2745737135410309, 'energy': 99.9044189453125}
{'episode': 17884, 'step': 25, 'uav_id': 0, 'position': 0.0, 'destination': 7.0, 'age': 0.3864867687225342, 'energy': 99.74275207519531}
{'episode': 17933, 'step': 26, 'uav_id': 2, 'position': 0.0, 'destination': 9.0, 'age': 0.5180705189704895, 'energy': 99.79646301269531}
{'episode': 17962, 'step': 14, 'uav_id': 1, 'position': 5.0, 'destination': 0.0, 'age': 0.16973380744457245, 'energy': 100.0}
{'episode': 18877, 'step': 28, 'uav_id': 1, 'position': 0.0, 'destination': 4.0, 'age': 0.4949219822883606, 'energy': 99.73992156982422}
{'episode': 19897, 'step': 29, 'uav_id': 1, 'position': 4.0, 'destination': 0.0, 'age': 0.4285615384578705, 'energy': 100.0}
{'episode': 19922, 'step': 23, 'uav_id': 2, 'position': 6.0, 'destination': 0.0, 'age': 0.3242526948451996, 'energy': 100.0}

==== Dynamic customer events ====
Total dynamic customer events: 12960
{'episode': 4, 'step': 17, 'customer_index': 9, 'customer_instance_id': 'dyn-1', 'x': -1.64, 'y': 6.94, 'demand': 41.89}
{'episode': 4, 'step': 19, 'customer_index': 2, 'customer_instance_id': 'dyn-2', 'x': 3.04, 'y': -6.59, 'demand': 16.47}
{'episode': 6, 'step': 28, 'customer_index': 1, 'customer_instance_id': 'dyn-3', 'x': -8.44, 'y': 1.34, 'demand': 31.91}
